score,id,label
4.1510015,lxg:1aaa7284eccc,Malignant neoplastic disease
4.1510015,lxg:e495ab3bf86e,Primary malignant neoplasm
3.6411088,lxg:322e802fcd2f,Canceled
2.8691819,lxg:2575d3e60909,Malignant tumor of cecum
2.8235404,lxg:519933f5b17f,Tumour cells, malignant
2.7753465,lxg:17feb2abb439,Malignant tumour of breast
2.7753465,lxg:1bca54119815,Malignant neoplasm of skin
2.7753465,lxg:257258e69a52,Malignant tumour of oral cavity
2.7753465,lxg:13ef5cf8a779,Primary malignant neoplasm of lung
2.7753465,lxg:443ea966f699,Malignant neoplasm of bone
2.7753465,lxg:b4c690f2f2a3,Malignant tumor of kidney
2.7753465,lxg:54730cf70ac7,Malignant neoplasm of liver
2.5420647,lxg:25837803f4d1,Malignant tumor of pineal gland
2.5420647,lxg:390e98723bac,Fear of getting cancer
2.5420647,lxg:1bc904fe7d17,Adenocarcinoma of rectum
2.5240982,lxg:13e90d35c19b,Primary malignant neoplasm of face
2.5240982,lxg:a7309dc42c09,Secondary malignant neoplasm of face
2.52051,lxg:136e30a24d77,Cancer care plan
2.52051,lxg:13d67199a949,Primary malignant neoplasm of cecum
2.52051,lxg:a78093216df1,Secondary malignant neoplasm of caecum
